HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
Bayern Munich,Wolfsburg,H,102,85,49,30,64,79,11,9,0,0,4,1,2,4,0,1,1.33,5.5,8.5
Bielefeld,Augsburg,A,47,56,13,13,66,66,9,10,0,1,2,2,0,2,4,2,2.87,3.3,2.5
FC Koln,Leverkusen,A,62,96,22,48,95,79,9,12,0,0,0,5,2,2,5,0,5.0,4.2,1.61
Hoffenheim,RB Leipzig,A,65,59,22,26,93,74,10,11,1,0,2,2,1,3,3,1,4.5,4.5,1.6
Union Berlin,Dortmund,H,97,114,37,47,86,75,10,11,0,0,3,4,3,1,1,2,4.75,4.0,1.65
Augsburg,Ein Frankfurt,A,69,84,22,31,81,100,18,19,1,0,2,2,2,3,3,2,3.8,3.75,1.95
Mainz,Werder Bremen,A,79,74,34,29,105,87,17,17,1,1,0,2,2,3,5,2,2.37,3.5,2.9
M'gladbach,Hoffenheim,A,98,90,37,37,75,100,12,17,1,3,2,2,4,2,1,3,1.9,4.2,3.5
RB Leipzig,FC Koln,D,132,54,40,22,83,77,11,16,0,1,6,2,1,3,0,1,1.28,5.75,9.5
Schalke 04,Bielefeld,A,81,63,27,25,99,95,22,13,1,0,0,1,2,1,5,5,2.15,3.4,3.4
Leverkusen,Bayern Munich,A,76,96,30,36,86,64,12,9,0,1,3,5,2,1,1,1,4.0,4.2,1.83
Freiburg,Hertha,H,122,69,43,20,73,119,9,10,0,1,2,2,3,2,2,3,2.5,3.5,2.7
Wolfsburg,Stuttgart,H,95,99,35,33,84,94,13,20,0,1,5,4,2,2,0,1,2.25,3.6,3.0
